lemma	stem	lemma_freq	stem_type
végiglapozik	végiglapoz	558	cvc
álszenteskedik	álsentešked	511	cvc
átforrósodik	átforróšod	1865	cvc
ütődik	ütődöm	5543	cvc
alakoskodik	alakoškod	1461	cvc
befurakszik	befurakod	4359	cvc
beharangozik	beharangoz	4068	cvc
behivatkozik	behivatkoz	251	cvc
bicepszezik	bicepsez	190	cvc
csíkozik	číkoz	669	cvc
elbohóckodik	elbohóckod	654	cvc
elbüszkélkedik	elbüskélked	849	cvc
elevenedik	elevened	32455	cvc
elgyönyörködik	elḏöṉörködök	1397	cvc
elkenődik	elkenődöm	3050	cvc
ellustálkodik	elluštálkod	292	cvc
fonódik	fonód	18743	cvc
gyakorlatozik	ḏakorlatoz	5524	cvc
helyrerázódik	hejrerázód	937	cvc
ijedezik	ijedez	1072	cvc
kajánkodik	kajánkod	917	cvc
keringőzik	keringőzök	2256	cvc
kipattogzik	kipattogz	326	cc
kisodródik	kišodród	3950	cvc
komolyodik	komojod	3885	cvc
kényeskedik	kéṉešked	949	cvc
lehanyatlik	lehaṉatl	3222	cc
leszületik	lesület	2152	cvc
magnózik	magnóz	147	cvc
majomkodik	majomkod	559	cvc
megfelezik	megfelez	304	cvc
megfeneklik	megfenekl	3977	cc
meggazdagodik	meggazdagod	15638	cvc
megkönnyezik	megköṉṉez	371	cvc
motorfékezik	motorfékez	46	cvc
mutyizik	muṯiz	1087	cvc
pipiskedik	pipišked	1067	cvc
párlik	párl	47	cc
rábukik	rábuk	753	cvc
sorjázik	šorjáz	504	cvc
szerepjátékozik	serepjátékoz	443	cvc
szépítkezik	sépítkez	1096	cvc
szíveskedik	sívešked	81883	cvc
tekeredik	tekered	8524	cvc
uzsonnázik	užonnáz	2222	cvc
verődik	verődök	17097	cvc
átvergődik	átvergődök	3153	cvc
ökörködik	ökörködöm	1755	cvc
űzik	űzöm	715	cvc
becsokizik	bečokiz	197	cvc
beleköltözik	beleköltözöm	1372	cvc
beszarik	besar	1125	cvc
burkolózik	burkolóz	13652	cvc
bálozik	báloz	951	cvc
bátorodik	bátorod	1398	cvc
csalinkázik	čalinkáz	473	cvc
elaszik	elas	263	cvc
elnézelődik	elnézelődöm	684	cvc
elomlik	eloml	403	cc
elszerencsétlenkedik	elserenčétlenked	154	cvc
felfúvódik	felfúvód	2121	cvc
felkenődik	felkenődök	808	cvc
felsorakozik	felšorakoz	33124	cvc
fűzik	fűzöm	861	cvc
galoppozik	galoppoz	721	cvc
hajtógázik	hajtógáz	18	cvc
hozzácsapódik	hozzáčapód	1000	cvc
hátraugrik	hátraugr	826	cc
játszódik	játsód	142955	cvc
kihajlik	kihajl	720	cc
kuponozik	kuponoz	103	cvc
külföldik	külföldöm	17	cvc
lekapcsolódik	lekapčolód	1595	cvc
lekeveredik	lekevered	261	cvc
lenyugszik	leṉugod	17153	cvc
leágazódobozik	leágazódoboz	16	cvc
megbűnhődik	megbűnhődöm	2929	cvc
megőrzik	megőrzöm	332	cvc
napközizik	napköziz	63	cvc
nyerészkedik	ṉerésked	3169	cvc
pártoskodik	pártoškod	478	cvc
reinkarnálódik	reinkarnálód	2162	cvc
rejtőzködik	rejtőzködök	13531	cvc
ráalszik	ráals	107	cc
ráfázik	ráfáz	2377	cvc
rágrillezik	rágrillez	30	cvc
szarakodik	saraks	5699	cc
szivarozik	sivaroz	1165	cvc
titokzatoskodik	titokzatoškod	581	cvc
tovavágyik	tovaváḏ	16	cvc
ultizik	ultiz	1092	cvc
visszakúszik	vissakús	1486	cvc
végigeszik	végiges	1845	cvc
végigpásztázik	végigpástáz	407	cvc
átázik	átáz	9052	cvc
összehaverkodik	össehaverkod	2170	cvc
összeillik	össeill	5232	cc
összevadászik	össevadás	1640	cvc
alibizik	alibiz	1099	cvc
aláfekszik	aláfeks	516	cc
bekúszik	bekús	5270	cvc
beleereszkedik	beleeresked	623	cvc
belekapcsolódik	belekapčolód	1363	cvc
bevetődik	bevetődöm	1173	cvc
bevonatozik	bevonatoz	217	cvc
dühödik	dühödök	804	cvc
edzősködik	edzőšködök	4862	cvc
elidegenedik	elidegened	5244	cvc
elváltozik	elváltoz	3919	cvc
eléhezik	eléhez	165	cvc
fekszik	feküsöm	604506	cvc
felmodellezik	felmodellez	15	cvc
felszerelkezik	felserelkez	11792	cvc
fogócskázik	fogóčkáz	3014	cvc
fölöltözik	fölöltözöm	377	cvc
gokartozik	gokartoz	1768	cvc
gumizik	gumiz	371	cvc
hajókázik	hajókáz	4918	cvc
huncutkodik	huncutkod	1518	cvc
ideutazik	ideutaz	1051	cvc
járőrözik	járőrözök	8814	cvc
kibiciklizik	kibicikliz	387	cvc
kibuszozik	kibusoz	323	cvc
kibúvik	kibúv	209	cvc
kivágódik	kivágód	2355	cvc
leautózik	leautóz	524	cvc
lebiciklizik	lebicikliz	199	cvc
lemosakszik	lemošaks	358	cc
lenyilatkozik	leṉilatkoz	2500	cvc
levegőzik	levegőzöm	5286	cvc
megfőzik	megfőzöm	1223	cvc
megütközik	megütközök	8422	cvc
működik	működ	2488856	cvc
nyomakodik	ṉomakod	1539	cvc
nyugszik	ṉugod	200200	cvc
odavetődik	odavetődöm	491	cvc
pik	p	135	cvc
rávetődik	rávetődök	1007	cvc
rémüldözik	rémüldözök	1401	cvc
szemtelenkedik	semtelenked	1357	cvc
szerelmeskedik	serelmešked	3264	cvc
szövegdobozik	sövegdoboz	17	cvc
tajtékzik	tajtékz	1903	cc
tankozik	tankoz	90	cvc
tehénkedik	tehénked	320	cvc
tollászkodik	tolláskod	1406	cvc
témadobozik	témadoboz	15	cvc
túlműködik	túlműködök	1140	cvc
visszafiatalodik	vissafiatalod	468	cvc
vélekedik	véleks	123148	cc
zsonglőrködik	žonglőrködök	3950	cvc
összefekszik	össefeks	1163	cc
összeütközik	össeütközöm	16145	cvc
akarózik	akaródz	9063	cc
alábújik	alábúj	134	cvc
bemelegedik	bemeleged	5020	cvc
csokizik	čokiz	328	cvc
dátumozik	dátumoz	100	cvc
elkéredzkedik	elkéredzked	544	cvc
elszontyolodik	elsonṯolod	1759	cvc
elvitatkozik	elvitatkoz	1712	cvc
elvonatozik	elvonatoz	563	cvc
feketézik	feketéz	660	cvc
felcsíkozik	felčíkoz	613	cvc
feltöltekezik	feltöltekez	2202	cvc
felőrlődik	felőrlődöm	1447	cvc
félreugrik	félreugr	1413	cc
fölemelkedik	fölemelked	4130	cvc
föltápászkodik	föltápáskod	861	cvc
győzködik	ḏőzködöm	210	cvc
hasizmozik	hašizmoz	56	cvc
italozik	italoz	3410	cvc
jégkorongozik	jégkorongoz	1416	cvc
kellemetlenkedik	kellemetlenked	1776	cvc
kipemzlizik	kipemzliz	14	cvc
kivirágzik	kivirágz	6742	cc
kiíratik	kiírat	2516	cvc
kotródik	kotród	1221	cvc
kötődobozik	kötődoboz	14	cvc
különcködik	különcködök	660	cvc
lehorgonyozik	lehorgoṉoz	989	cvc
lelkendezik	lelkendez	1367	cvc
lemodellezik	lemodellez	261	cvc
lemorzsolódik	lemoržolód	5820	cvc
levágódik	levágód	873	cvc
leóvatoskodik	leóvatoškod	90	cvc
megihletődik	megihletődök	236	cvc
megosztozik	megostoz	6354	cvc
mindegyik	mindeḏikök	891169	cvc
odahajlik	odahajl	104	cc
odasettenkedik	odašettenked	326	cvc
parázslik	parážl	2744	cc
rápróbálkozik	rápróbálkoz	141	cvc
szájharmonikázik	sájharmonikáz	579	cvc
szűkölködik	sűkölködök	10233	cvc
sápítozik	šápítoz	1286	cvc
telezik	telez	1517	cvc
torkollik	torkoll	43300	cc
tusakodik	tušakod	2786	cvc
vetélkedik	vetélked	10217	cvc
vidámkodik	vidámkod	567	cvc
visszakapcsolódik	vissakapčolód	943	cvc
vészfékezik	vésfékez	611	cvc
zombizik	zombiz	66	cvc
ájuldozik	ájuldoz	1360	cvc
átbuszozik	átbusoz	443	cvc
összeeszik	össees	381	cvc
összeismerkedik	össeišmerked	4597	cvc
összezúzódik	össezúzód	393	cvc
újraálmodik	újraálmod	1168	cvc
ajándékdobozik	ajándékdoboz	24	cvc
bajmolódik	bajmolód	290	cvc
beadatik	beadat	3862	cvc
bedöglik	bedöglök	3491	cvc
beeszik	bees	2006	cvc
befingik	befing	120	cc
belepofátlankodik	belepofátlankod	159	cvc
bereggelizik	bereggeliz	413	cvc
betegedik	beteged	13663	cvc
bevacsorázik	bevačoráz	539	cvc
bográcsozik	bográčoz	2758	cvc
bújócskázik	bújóčkáz	3164	cvc
citerázik	citeráz	1464	cvc
csónakázik	čónakáz	6485	cvc
csúszdázik	čúsdáz	2655	cvc
dühösködik	dühöšködöm	411	cvc
elbátortalanodik	elbátortalanod	1518	cvc
elemelkedik	elemelked	3146	cvc
elhülyéskedik	elhüjéšked	436	cvc
elkallódik	elkallód	6624	cvc
elrágódik	elrágód	430	cvc
elsodródik	elšodród	2571	cvc
előrelapozik	előrelapoz	96	cvc
fecserészik	fečerés	386	cvc
felidegesedik	felidegešed	168	cvc
fölényeskedik	föléṉešked	1263	cvc
gyülekezik	ḏülekez	44039	cvc
gázosodik	gázošod	323	cvc
hajladozik	hajladoz	2936	cvc
halódik	halód	1397	cvc
hazavonatozik	hazavonatoz	229	cvc
huzakodik	huzakod	1262	cvc
kezdődik	kezdőd	1314350	cvc
kibontakozik	kibontakoz	63639	cvc
kibányászik	kibáṉás	3556	cvc
kifingik	kifing	462	cc
kivörösödik	kivöröšödöm	2424	cvc
klarinétozik	klarinétoz	674	cvc
korteskedik	kortešked	844	cvc
kárhozik	kárhoz	4546	cvc
köcsögösködik	köčögöšködök	179	cvc
különválik	különvál	10059	cvc
levetkezik	levetkez	1305	cvc
marháskodik	marháškod	635	cvc
megbúvik	megbúv	684	cvc
megedződik	megedződöm	2535	cvc
mellébújik	mellébúj	84	cvc
paráználkodik	paráználkod	4716	cvc
rugdalózik	rugdalóz	1324	cvc
ráakaszkodik	ráakaskod	910	cvc
rácsúszik	ráčús	1350	cvc
ráereszkedik	ráeresked	492	cvc
ráripakodik	ráripakod	1155	cvc
rózsadobozik	róžadoboz	17	cvc
szakácskodik	sakáčkod	506	cvc
sürgölődik	šürgölődök	2392	cvc
tökölődik	tökölődök	421	cvc
vetekszik	veteks	28843	cc
veteránozik	veteránoz	55	cvc
vihorászik	vihorás	831	cvc
áskálódik	áškálód	1964	cvc
átbukik	átbuk	1635	cvc
összenyálazik	össeṉálaz	33	cvc
alárajzik	alárajz	12	cc
anyagozik	aṉagoz	294	cvc
anyáskodik	aṉáškod	1025	cvc
asszimilálódik	assimilálód	5757	cvc
belecsapódik	belečapód	1110	cvc
beleeszik	belees	1413	cvc
beleöregszik	beleöregs	112	cc
besorakozik	bešorakoz	484	cvc
besértődik	bešértődök	1145	cvc
bilizik	biliz	247	cvc
büfizik	büfiz	1700	cvc
csendesedik	čendešed	6494	cvc
csiszolódik	čisolód	6459	cvc
diadalmaskodik	diadalmaškod	35682	cvc
edződik	edződök	7138	cvc
elkényelmesedik	elkéṉelmešed	5281	cvc
ellapozik	ellapoz	107	cvc
elnyugszik	elṉugs	1209	cc
eltévelyedik	eltévejed	2045	cvc
esküszik	ešküdök	82803	cvc
fadobozik	fadoboz	13	cvc
faksznizik	faksniz	38	cvc
felcsavarodik	felčavarod	722	cvc
felcsigázik	felčigáz	12	cvc
feltornászik	feltornás	2690	cvc
felvonatozik	felvonatoz	177	cvc
füzik	füzöm	212	cvc
fűződik	fűződöm	121731	cvc
golyózik	gojóz	1279	cvc
görgőzik	görgőzök	84	cvc
haknizik	hakniz	1370	cvc
hepciáskodik	hepciáškod	659	cvc
hozzáköltözik	hozzáköltözöm	291	cvc
hátrahúzódik	hátrahúzód	852	cvc
hűtlenkedik	hűtlenked	605	cvc
időutazik	időutaz	625	cvc
járdázik	járdáz	214	cvc
kenődik	kenődök	4832	cvc
kibelezik	kibelez	595	cvc
kihízik	kihíz	773	cvc
kikerekezik	kikerekez	211	cvc
kikúszik	kikús	520	cvc
kiterjeszkedik	kiterjesked	1312	cvc
kiérkezik	kiérkez	5237	cvc
kommandózik	kommandóz	644	cvc
kuplungozik	kuplungoz	103	cvc
körülményeskedik	körülméṉešked	254	cvc
lehangolódik	lehangolód	531	cvc
lekucorodik	lekucorod	247	cvc
lelepleződik	lelepleződök	7784	cvc
levedlik	levedl	2307	cc
lopózkodik	lopózkod	159	cvc
lopózik	lopóz	2918	cvc
meghivatkozik	meghivatkoz	599	cvc
megiramodik	megiramod	988	cvc
megkezdődik	megkezdődök	262350	cvc
megkopaszodik	megkopasod	1247	cvc
megkávézik	megkávéz	393	cvc
megtörténik	megtörtén	545026	cvc
megütődik	megütődöm	687	cvc
nyalakodik	ṉalakod	1148	cvc
nyűgösködik	ṉűgöšködöm	919	cvc
pirosodik	pirošod	2743	cvc
piszkolódik	piskolód	839	cvc
példálózik	példálódz	8093	cc
rendeződik	rendeződök	54166	cvc
rendszerfajlik	rendserfajl	12	cc
sivalkodik	šivalkod	1974	cvc
sorakozik	šorakoz	94911	cvc
stencilezik	štencilez	206	cvc
szikrázik	sikráz	11894	cvc
szétmállik	sétmáll	2294	cc
takarózik	takaródz	3750	cc
tolódik	tolód	33844	cvc
tárulkozik	tárulkoz	2504	cvc
tökölődik	tökölődöm	421	cvc
visszavonatozik	vissavonatoz	214	cvc
visszaálmodik	vissaálmod	351	cvc
vázlatozik	vázlatoz	52	cvc
ébredezik	ébredez	3598	cvc
összegömbölyödik	össegömböjödök	2400	cvc
összekeveredik	össekevered	13437	cvc
összekészülődik	össekésülődök	365	cvc
bebuszozik	bebusoz	407	cvc
befurakszik	befuraks	4359	cc
beiszik	beis	3198	cvc
betagozódik	betagozód	2854	cvc
beteljesedik	betelješed	19696	cvc
bevérzik	bevérz	432	cc
bátortalanodik	bátortalanod	479	cvc
bőgőzik	bőgőzök	1398	cvc
csillapszik	čillapod	15905	cvc
danászik	danás	181	cvc
divatozik	divatoz	1234	cvc
eladósodik	eladóšod	7699	cvc
elbámészkodik	elbáméskod	571	cvc
eleszik	eles	2984	cvc
elfoglaltatik	elfoglaltat	243	cvc
ellenségeskedik	ellenšégešked	839	cvc
ellenőrzik	ellenőrzöm	672	cvc
előrehajlik	előrehajl	471	cc
előremászik	előremás	126	cvc
felmerészkedik	felmerésked	793	cvc
feltornázik	feltornáz	1896	cvc
felúszik	felús	2189	cvc
fenekezik	fenekez	243	cvc
finnyáskodik	fiṉṉáškod	1162	cvc
férkőzik	férkőzöm	18255	cvc
graffitizik	graffitiz	433	cvc
gyűlik	ḏűlök	173964	cvc
hapcizik	hapciz	222	cvc
havazik	havaz	16393	cvc
kereskedik	kereškedök	48423	cvc
kicserélődik	kičerélődöm	10444	cvc
kitavaszodik	kitavasod	2427	cvc
kivonatozik	kivonatoz	149	cvc
korongozik	korongoz	721	cvc
körbeszaglászik	körbesaglás	648	cvc
lebuszozik	lebusoz	109	cvc
leprogramozik	leprogramoz	144	cvc
marakodik	marakod	3621	cvc
maratonozik	maratonoz	64	cvc
megbetegedik	megbeteged	28548	cvc
megkínlódik	megkínlód	631	cvc
megvonaglik	megvonagl	851	cc
megérdeklődik	megérdeklődöm	4883	cvc
motiválódik	motiválód	234	cvc
nyargalászik	ṉargalás	1013	cvc
odakuporodik	odakuporod	366	cvc
odatelepszik	odateleped	647	cvc
palánkozik	palánkoz	64	cvc
pasziánszozik	pasiánsoz	202	cvc
pendlizik	pendliz	241	cvc
pimaszkodik	pimaskod	588	cvc
piroslik	pirošl	2621	cc
pityeredik	piṯered	469	cvc
porontyozik	poronṯoz	24	cvc
porzik	porz	4213	cc
pótvizsgázik	pótvižgáz	659	cvc
rendetlenkedik	rendetlenked	2865	cvc
szertefoszlik	sertefosl	13448	cc
utánalapozik	utánalapoz	15	cvc
visszahajlik	vissahajl	864	cc
visszhangzik	visshangz	12926	cc
vonódik	vonód	2977	cvc
végigmászik	végigmás	646	cvc
végigsiklik	végigšikl	1273	cc
végigutazik	végigutaz	737	cvc
végződik	végződök	106528	cvc
zizik	ziz	58	cvc
záróvizsgázik	záróvižgáz	359	cvc
átszökik	átsököm	2784	cvc
érdekelődik	érdekelődöm	285	cvc
összeszokik	össesok	5641	cvc
adaptálódik	adaptálód	4014	cvc
alkotmányozik	alkotmáṉoz	206	cvc
alumíniumdobozik	alumíniumdoboz	10	cvc
anekdotázik	anekdotáz	1274	cvc
bajszosodik	bajsošod	12	cvc
beautózik	beautóz	476	cvc
bekeveredik	bekevered	1134	cvc
bezáródik	bezáród	6170	cvc
biliárdozik	biliárdoz	2246	cvc
bántódik	bántód	1216	cvc
cetlizik	cetliz	69	cvc
csömörlik	čömörlök	539	cvc
dilizik	diliz	269	cvc
egyszerűsödik	eḏserűšödöm	13942	cvc
elhasználódik	elhasnálód	25288	cvc
eliramodik	eliramod	665	cvc
elkezdődik	elkezdődök	244250	cvc
elkotródik	elkotród	1218	cvc
elrejtőzik	elrejtőzök	15459	cvc
elővadászik	elővadás	199	cvc
fekszik	feküdöm	604506	cvc
fik	f	47	cvc
forgácsolódik	forgáčolód	606	cvc
fűződik	fűződök	121731	cvc
gyalázkodik	ḏalázkod	1614	cvc
gyürkőzik	ḏürkőzök	975	cvc
győzedelmeskedik	ḏőzedelmešked	24170	cvc
hallgatózik	hallgatódz	8614	cc
hancúrozik	hancúroz	4623	cvc
haragszik	haragud	129179	cvc
idézőjelezik	idézőjelez	17	cvc
kergetőzik	kergetőzök	5058	cvc
kergetőzik	kergetőzöm	5058	cvc
kiadatik	kiadat	2602	cvc
kibumlizik	kibumliz	141	cvc
kicsontozik	kičontoz	1099	cvc
kifehéredik	kifehéred	6194	cvc
kiokosodik	kiokošod	715	cvc
kipirosodik	kipirošod	4897	cvc
kompozik	kompoz	324	cvc
kényelmesedik	kéṉelmešed	1530	cvc
képződik	képződök	75875	cvc
körbeautózik	körbeautóz	465	cvc
lakmározik	lakmároz	5103	cvc
lemaradozik	lemaradoz	570	cvc
letojik	letoj	2317	cvc
levonatozik	levonatoz	204	cvc
lezongorázik	lezongoráz	754	cvc
megférfiasodik	megférfiašod	124	cvc
meggrillezik	meggrillez	67	cvc
megharagszik	megharagud	12121	cvc
megmártózik	megmártóz	10881	cvc
megmérkőzik	megmérkőzök	11745	cvc
mellőzik	mellőzöm	170	cvc
mulatozik	mulatoz	3429	cvc
nyomakodik	ṉomaks	1539	cc
okvetlenkedik	okvetlenked	48	cvc
pontyozik	ponṯoz	122	cvc
prolizik	proliz	111	cvc
préselődik	préšelődöm	3193	cvc
rajozik	rajoz	53	cvc
ralizik	raliz	684	cvc
ravaszkodik	ravaskod	972	cvc
rálapozik	rálapoz	49	cvc
ráncosodik	ráncošod	3780	cvc
sajtozik	šajtoz	41	cvc
szabódik	sabód	925	cvc
tanakodik	tanaks	16021	cc
továbbutazik	továbbutaz	6478	cvc
társasozik	táršašoz	3392	cvc
tünedezik	tünedez	1133	cvc
valamelyik	valamejikök	663426	cvc
virgonckodik	virgonckod	557	cvc
visszafejlődik	vissafejlődöm	5112	cvc
vécézik	vécéz	722	cvc
átbiciklizik	átbicikliz	400	cvc
átfázik	átfáz	938	cvc
átkeveredik	átkevered	329	cvc
átkúszik	átkús	961	cvc
átszökik	átsökök	2784	cvc
éledezik	éledez	4011	cvc
érzelgősködik	érzelgőšködöm	229	cvc
érzékenykedik	érzékeṉked	372	cvc
öklendezik	öklendez	606	cvc
összecsúszik	össečús	2296	cvc
aktivizálódik	aktivizálód	9329	cvc
aládolgozik	aládolgoz	452	cvc
alámászik	alámás	161	cvc
becsömörlik	bečömörlök	58	cvc
behajlik	behajl	1189	cc
belakmározik	belakmároz	1148	cvc
belekényelmesedik	belekéṉelmešed	786	cvc
beletojik	beletoj	201	cvc
beszegődik	besegődöm	397	cvc
besértődik	bešértődöm	1145	cvc
bizalmaskodik	bizalmaškod	700	cvc
csomagolódobozik	čomagolódoboz	9	cvc
elbajlódik	elbajlód	88	cvc
elfalatozik	elfalatoz	144	cvc
elgémberedik	elgémbered	1182	cvc
elnehezedik	elnehezed	1505	cvc
elszegényedik	elsegéṉed	7677	cvc
előtelik	előtel	19	cvc
energiaitalozik	energiaitaloz	28	cvc
felcihelődik	felcihelődök	430	cvc
felellik	felell	38	cc
fellelkesedik	fellelkešed	1385	cvc
felérkezik	felérkez	751	cvc
fényesedik	féṉešed	2301	cvc
függeszkedik	függesked	1411	cvc
garasoskodik	garašoškod	493	cvc
görnyedezik	görṉedez	804	cvc
halálozik	haláloz	868	cvc
hazabuszozik	hazabusoz	234	cvc
hazamászik	hazamás	75	cvc
hazavergődik	hazavergődöm	364	cvc
hátralapozik	hátralapoz	95	cvc
iramlik	iraml	847	cc
kamaszodik	kamasod	1964	cvc
kedvetlenedik	kedvetlened	491	cvc
keresztülmászik	kerestülmás	188	cvc
kibringázik	kibringáz	74	cvc
kiegyensúlyozódik	kieḏenšújozód	637	cvc
kikupálódik	kikupálód	1130	cvc
kivadászik	kivadás	334	cvc
kiömlik	kiömlök	5676	cvc
klubozik	kluboz	118	cvc
komizik	komiz	71	cvc
kuksizik	kukšiz	48	cvc
kvaterkázik	kvaterkáz	902	cvc
káprázik	kápráz	7191	cvc
kínálkozik	kínálkoz	36868	cvc
kókadozik	kókadoz	1303	cvc
közösködik	közöšködök	2915	cvc
lealacsonyodik	lealačoṉod	1124	cvc
lealkudik	lealkud	2471	cvc
lesiklik	lešikl	1481	cc
lutrizik	lutriz	51	cvc
megbomlik	megboml	13094	cc
megesküszik	megešküsök	13269	cvc
megfelejtkezik	megfelejtkez	1083	cvc
meghibásodik	meghibášod	30564	cvc
megilletődik	megilletődök	5576	cvc
megokosodik	megokošod	590	cvc
mellezik	mellez	54	cvc
misézik	mišéz	1955	cvc
nekicsúszik	nekičús	305	cvc
odapofátlankodik	odapofátlankod	147	cvc
odaúszik	odaús	790	cvc
ovizik	oviz	48	cvc
papucsozik	papučoz	23	cvc
piknikezik	piknikez	7782	cvc
pletyizik	pleṯiz	281	cvc
portyázik	porṯáz	489	cvc
párzik	párz	2316	cc
ráemlékszik	ráemléks	19	cc
rátehénkedik	rátehénked	220	cvc
szakdolgozik	sakdolgoz	190	cvc
szamárfülezik	samárfülez	14	cvc
szik	s	11264	cvc
szemrevételezik	semrevételez	361	cvc
szurkálódik	surkálód	310	cvc
szállingózik	sállingóz	8178	cvc
szélhámoskodik	sélhámoškod	428	cvc
szérumozik	sérumoz	14	cvc
szétbaszik	sétbas	1074	cvc
szívódik	sívód	38838	cvc
szórólapozik	sórólapoz	432	cvc
tetvészkedik	tetvésked	98	cvc
torkoskodik	torkoškod	880	cvc
tovatűnik	tovatűnök	3352	cvc
tudatosodik	tudatošod	7937	cvc
turmixozik	turmixoz	14	cvc
társasjátékozik	táršašjátékoz	2210	cvc
törlődik	törlődök	35110	cvc
túljátszik	túljáts	3679	cc
végigiszik	végigis	969	cvc
vérszik	vérs	11	cc
zsarnokoskodik	žarnokoškod	1288	cvc
záródik	záród	24424	cvc
átkanyarodik	átkaṉarod	178	cvc
írásbelizik	írášbeliz	183	cvc
újravizsgálódik	újravižgálód	9	cvc
altozik	altoz	42	cvc
alábukik	alábuk	1223	cvc
alácsúszik	aláčús	147	cvc
amatőrködik	amatőrködök	140	cvc
andalodik	andalod	304	cvc
banyaszik	baṉas	191	cvc
basszusozik	bassušoz	634	cvc
bebringázik	bebringáz	59	cvc
beereszkedik	beeresked	426	cvc
bekérezkedik	bekérezked	314	cvc
belecsimpaszkodik	belečimpaskod	641	cvc
belefúródik	belefúród	1543	cvc
belemerevedik	belemereved	578	cvc
beleálmodik	beleálmod	684	cvc
benyálazik	beṉálaz	17	cvc
betolakszik	betolaks	2256	cc
beékelődik	beékelődöm	2962	cvc
bukfencezik	bukfencez	1562	cvc
cikkezik	cikkez	1063	cvc
csukázik	čukáz	393	cvc
csúfolkodik	čúfolkod	406	cvc
dobódik	dobód	1083	cvc
elalmosodik	elalmošod	46	cvc
elheveredik	elhevered	529	cvc
elszerződik	elserződöm	934	cvc
eltelítődik	eltelítődök	351	cvc
előkeveredik	előkevered	265	cvc
előmászik	előmás	1364	cvc
előrebukik	előrebuk	784	cvc
előredolgozik	előredolgoz	90	cvc
emlékszik	emléksöm	582875	cvc
fehéredik	fehéred	3331	cvc
felelevenedik	felelevened	2636	cvc
felfejlődik	felfejlődök	1961	cvc
feljelentkezik	feljelentkez	1206	cvc
felőrlődik	felőrlődök	1447	cvc
fickándozik	fickándoz	1768	cvc
fosszilizálódik	fossilizálód	242	cvc
foszlik	fosl	9690	cc
fusizik	fušiz	242	cvc
gecizik	geciz	466	cvc
használódik	hasnálód	5306	cvc
hatalmaskodik	hatalmaškod	1696	cvc
hazavetődik	hazavetődöm	129	cvc
heroinozik	heroinoz	60	cvc
hormonozik	hormonoz	17	cvc
hozzábaszik	hozzábas	35	cvc
hozzáedződik	hozzáedződöm	703	cvc
hozzákapcsolódik	hozzákapčolód	2990	cvc
hurcolkodik	hurcolkod	745	cvc
hátlapozik	hátlapoz	38	cvc
ismerődik	išmerődöm	96	cvc
játékozik	játékoz	136	cvc
kallódik	kallód	5181	cvc
kieszik	kies	2154	cvc
kisettenkedik	kišettenked	132	cvc
kiszületik	kisület	58	cvc
kivergődik	kivergődöm	1127	cvc
klónozik	klónoz	647	cvc
korpásodik	korpášod	1009	cvc
korzózik	korzóz	1595	cvc
kunkorodik	kunkorod	2038	cvc
kétkezik	kétkez	9	cvc
központozik	központoz	52	cvc
ladik	lad	10803	cvc
lebetonozik	lebetonoz	119	cvc
lecsendesedik	lečendešed	4608	cvc
lekúszik	lekús	1777	cvc
lemerészkedik	lemerésked	1023	cvc
lepontozik	lepontoz	1012	cvc
leszálkásodik	lesálkášod	123	cvc
leóvakodik	leóvakod	147	cvc
lopódzik	lopódz	2068	cc
lökdösődik	lökdöšődök	3007	cvc
meakulpázik	meakulpáz	217	cvc
megesküszik	megešküdök	13269	cvc
megihletődik	megihletődöm	236	cvc
megkésik	megkéš	12642	cvc
megkörnyékezik	megkörṉékez	2279	cvc
megnövekszik	megnöveked	63727	cvc
megszaporodik	megsaporod	20534	cvc
megtanácskozik	megtanáčkoz	826	cvc
megtejfölözik	megtejfölözöm	18	cvc
monokinizik	monokiniz	105	cvc
mérgeskedik	mérgešked	217	cvc
parasztozik	parastoz	224	cvc
pecsételődobozik	pečételődoboz	8	cvc
penészedik	penésed	4601	cvc
petárdázik	petárdáz	805	cvc
redukálódik	redukálód	7123	cvc
rácsavarodik	ráčavarod	779	cvc
ráhajlik	ráhajl	361	cc
rámerészkedik	rámerésked	298	cvc
részegedik	réseged	1562	cvc
römizik	römiz	132	cvc
sorszámozik	šorsámoz	135	cvc
szaladozik	saladoz	540	cvc
tanárkodik	tanárkod	474	cvc
telekocsizik	telekočiz	63	cvc
trolizik	troliz	112	cvc
tévelyedik	tévejed	1157	cvc
túlparázik	túlparáz	436	cvc
tűzik	tűzöm	1680	cvc
utánaugrik	utánaugr	288	cc
verődik	verődöm	17097	cvc
vigadozik	vigadoz	1583	cvc
visszafolyik	vissafoj	2200	cvc
vitaminozik	vitaminoz	27	cvc
végigimádkozik	végigimádkoz	190	cvc
áthurcolkodik	áthurcolkod	186	cvc
évelődik	évelődöm	200	cvc
óhajtozik	óhajtoz	144	cvc
önállósodik	önállóšod	4835	cvc
összekavarodik	össekavarod	1293	cvc
újraérettségizik	újraérettšégiz	33	cvc
ügyesedik	üḏešed	2539	cvc
agázik	agáz	9	cvc
akik	ak	1454	cvc
alárendelődik	alárendelődök	2242	cvc
alárendelődik	alárendelődöm	2242	cvc
befalatozik	befalatoz	156	cvc
begombolkozik	begombolkoz	348	cvc
bekerekezik	bekerekez	191	cvc
bekászálódik	bekásálód	262	cvc
bekövetkezik	bekövetkez	129624	cvc
belebaszik	belebas	205	cvc
