variation	base	category	suffix	input	output1	output
cselekszenek/cselekednek	adósodik	low	nek	adóšodiK	adóšodnak	adóšodnVk
cselekszenek/cselekednek	koszorúzik	low	nek	kosorúziK	kosorúznak	kosorúznVk
cselekszenek/cselekednek	misézik	low	tek	mišéziK	mišéztek	mišéztVk
cselekszenek/cselekednek	penészedik	low	nek	penésediK	penésednek	penésednVk
cselekszenek/cselekednek	olvadozik	low	nek	olvadoziK	olvadoznak	olvadoznVk
cselekszenek/cselekednek	kerekezik	low	nek	kerekeziK	kerekeznek	kerekeznVk
cselekszenek/cselekednek	működik	low	tek	működiK	működtök	működtVk
cselekszenek/cselekednek	ágaskodik	low	nek	ágaškodiK	ágaškodnak	ágaškodnVk
cselekszenek/cselekednek	esedezik	low	ünk	ešedeziK	ešedezünk	ešedezVnk
cselekszenek/cselekednek	hivatkozik	low	tek	hivatkoziK	hivatkoztok	hivatkoztVk
cselekszenek/cselekednek	tenyészik	low	tek	teṉésiK	teṉéstek	teṉéstVk
cselekszenek/cselekednek	terelődik	low	nek	terelődiK	terelődnek	terelődnVk
cselekszenek/cselekednek	vonatozik	low	ünk	vonatoziK	vonatozunk	vonatozVnk
cselekszenek/cselekednek	ékeskedik	low	nek	ékeškediK	ékeškednek	ékeškednVk
cselekszenek/cselekednek	botladozik	low	ünk	botladoziK	botladozunk	botladozVnk
cselekszenek/cselekednek	árválkodik	low	nek	árválkodiK	árválkodnak	árválkodnVk
cselekszenek/cselekednek	adatik	low	ünk	adatiK	adatunk	adatVnk
cselekszenek/cselekednek	költözik	low	tek	költöziK	költöztök	költöztVk
cselekszenek/cselekednek	kérkedik	low	tek	kérkediK	kérkedtek	kérkedtVk
cselekszenek/cselekednek	rohamozik	low	nek	rohamoziK	rohamoznak	rohamoznVk
cselekszenek/cselekednek	vitázik	low	tek	vitáziK	vitáztok	vitáztVk
cselekszenek/cselekednek	lökdösődik	low	nek	lökdöšődiK	lökdöšődnek	lökdöšődnVk
cselekszenek/cselekednek	bajlódik	low	ünk	bajlódiK	bajlódunk	bajlódVnk
cselekszenek/cselekednek	vitézkedik	low	nek	vitézkediK	vitézkednek	vitézkednVk
cselekszenek/cselekednek	irtózik	low	ünk	irtóziK	irtózunk	irtózVnk
cselekszenek/cselekednek	melegszik	high	ünk	melegsiK	melegsünk	melegsVnk
cselekszenek/cselekednek	videózik	low	nek	videóziK	videóznak	videóznVk
cselekszenek/cselekednek	videózik	low	ünk	videóziK	videózunk	videózVnk
cselekszenek/cselekednek	grillezik	low	nek	grilleziK	grilleznek	grilleznVk
cselekszenek/cselekednek	kotlik	high	nek	kotliK	kotlanak	kotlVnVk
cselekszenek/cselekednek	fehérlik	high	nek	fehérliK	fehérlenek	fehérlVnVk
cselekszenek/cselekednek	mulatozik	low	nek	mulatoziK	mulatoznak	mulatoznVk
cselekszenek/cselekednek	fekszik	high	tek	feksiK	feksetek	feksVtVk
cselekszenek/cselekednek	fekszik	low	tek	feksiK	feksetek	feksVtVk
cselekszenek/cselekednek	élcelődik	low	nek	élcelődiK	élcelődnek	élcelődnVk
cselekszenek/cselekednek	aláíratik	low	nek	aláíratiK	aláíratnak	aláíratnVk
cselekszenek/cselekednek	cigányozik	low	nek	cigáṉoziK	cigáṉoznak	cigáṉoznVk
cselekszenek/cselekednek	segédkezik	low	ünk	šegédkeziK	šegédkezünk	šegédkezVnk
cselekszenek/cselekednek	mókázik	low	nek	mókáziK	mókáznak	mókáznVk
cselekszenek/cselekednek	vonódik	low	nek	vonódiK	vonódnak	vonódnVk
cselekszenek/cselekednek	vékonyodik	low	nek	vékoṉodiK	vékoṉodnak	vékoṉodnVk
cselekszenek/cselekednek	vetkezik	low	nek	vetkeziK	vetkeznek	vetkeznVk
cselekszenek/cselekednek	vonatozik	low	nek	vonatoziK	vonatoznak	vonatoznVk
cselekszenek/cselekednek	zuhanyozik	low	nek	zuhaṉoziK	zuhaṉoznak	zuhaṉoznVk
cselekszenek/cselekednek	ügyesedik	low	nek	üḏešediK	üḏešednek	üḏešednVk
cselekszenek/cselekednek	kívánkozik	low	ünk	kívánkoziK	kívánkozunk	kívánkozVnk
cselekszenek/cselekednek	nyújtózik	low	ünk	ṉújtóziK	ṉújtózunk	ṉújtózVnk
cselekszenek/cselekednek	fosik	low	nek	fošiK	fošnak	fošnVk
cselekszenek/cselekednek	rétegződik	low	nek	rétegződiK	rétegződnek	rétegződnVk
cselekszenek/cselekednek	háborúzik	low	ünk	háborúziK	háborúzunk	háborúzVnk
cselekszenek/cselekednek	jóllakik	low	ünk	jóllakiK	jóllakunk	jóllakVnk
cselekszenek/cselekednek	alkudozik	low	ünk	alkudoziK	alkudozunk	alkudozVnk
cselekszenek/cselekednek	eszik	low	ünk	esiK	esunk	esVnk
cselekszenek/cselekednek	pereskedik	low	tek	pereškediK	pereškedtek	pereškedtVk
cselekszenek/cselekednek	alszik	high	tek	alsiK	alustok	alustVk
cselekszenek/cselekednek	alszik	low	tek	alsiK	alustok	alustVk
cselekszenek/cselekednek	hivalkodik	low	nek	hivalkodiK	hivalkodnak	hivalkodnVk
cselekszenek/cselekednek	vetekszik	high	tek	veteksiK	vetekedtek	vetekedtVk
cselekszenek/cselekednek	vetekszik	low	tek	veteksiK	vetekedtek	vetekedtVk
cselekszenek/cselekednek	esedezik	low	nek	ešedeziK	ešedeznek	ešedeznVk
cselekszenek/cselekednek	piknikezik	low	tek	piknikeziK	piknikeztek	piknikeztVk
cselekszenek/cselekednek	vágyakozik	low	tek	váḏakoziK	váḏakoztok	váḏakoztVk
cselekszenek/cselekednek	mentődik	low	nek	mentődiK	mentődnek	mentődnVk
cselekszenek/cselekednek	kártyázik	low	ünk	kárṯáziK	kárṯázunk	kárṯázVnk
cselekszenek/cselekednek	fordítódik	low	nek	fordítódiK	fordítódnak	fordítódnVk
cselekszenek/cselekednek	ingázik	low	ünk	ingáziK	ingázunk	ingázVnk
cselekszenek/cselekednek	áskálódik	low	nek	áškálódiK	áškálódnak	áškálódnVk
cselekszenek/cselekednek	babázik	low	nek	babáziK	babáznak	babáznVk
cselekszenek/cselekednek	dörgölőzik	low	nek	dörgölőziK	dörgölőznek	dörgölőznVk
cselekszenek/cselekednek	hitelezik	low	tek	hiteleziK	hiteleztek	hiteleztVk
cselekszenek/cselekednek	mutálódik	low	nek	mutálódiK	mutálódnak	mutálódnVk
cselekszenek/cselekednek	származik	low	tek	sármaziK	sármaztok	sármaztVk
cselekszenek/cselekednek	alkudik	low	nek	alkudiK	alkusnak	alkusnVk
cselekszenek/cselekednek	szarakodik	low	nek	sarakodiK	sarakodnak	sarakodnVk
cselekszenek/cselekednek	szaporodik	low	ünk	saporodiK	saporodunk	saporodVnk
cselekszenek/cselekednek	korzózik	low	nek	korzóziK	korzóznak	korzóznVk
cselekszenek/cselekednek	mozizik	low	ünk	moziziK	mozizunk	mozizVnk
cselekszenek/cselekednek	egyezkedik	low	tek	eḏezkediK	eḏezkedtek	eḏezkedtVk
cselekszenek/cselekednek	húzódozik	low	nek	húzódoziK	húzódoznak	húzódoznVk
cselekszenek/cselekednek	számolódik	low	nek	sámolódiK	sámolódnak	sámolódnVk
cselekszenek/cselekednek	sáfárkodik	low	ünk	šáfárkodiK	šáfárkodunk	šáfárkodVnk
cselekszenek/cselekednek	tétovázik	low	nek	tétováziK	tétováznak	tétováznVk
cselekszenek/cselekednek	vérzik	high	ünk	vérziK	vérzünk	vérzVnk
cselekszenek/cselekednek	lábadozik	low	nek	lábadoziK	lábadoznak	lábadoznVk
cselekszenek/cselekednek	undorodik	low	ünk	undorodiK	undorodunk	undorodVnk
cselekszenek/cselekednek	csónakázik	low	ünk	čónakáziK	čónakázunk	čónakázVnk
cselekszenek/cselekednek	csajozik	low	nek	čajoziK	čajoznak	čajoznVk
cselekszenek/cselekednek	sopánkodik	low	ünk	šopánkodiK	šopánkodunk	šopánkodVnk
cselekszenek/cselekednek	habzik	high	nek	habziK	habzanak	habzVnVk
cselekszenek/cselekednek	vonakodik	low	ünk	vonakodiK	vonakodunk	vonakodVnk
cselekszenek/cselekednek	szopik	low	ünk	sopiK	sopunk	sopVnk
cselekszenek/cselekednek	szegődik	low	ünk	segődiK	segődünk	segődVnk
cselekszenek/cselekednek	vágtázik	low	nek	vágtáziK	vágtáznak	vágtáznVk
cselekszenek/cselekednek	alkudik	low	ünk	alkudiK	alkusunk	alkusVnk
cselekszenek/cselekednek	győzik	low	tek	ḏőziK	ḏőztek	ḏőztVk
cselekszenek/cselekednek	tünedezik	low	nek	tünedeziK	tünedeznek	tünedeznVk
cselekszenek/cselekednek	kapálózik	low	nek	kapálóziK	kapálóznak	kapálóznVk
cselekszenek/cselekednek	vakarózik	low	nek	vakaróziK	vakaróznak	vakaróznVk
cselekszenek/cselekednek	szegeződik	low	nek	segeződiK	segeződnek	segeződnVk
cselekszenek/cselekednek	baszik	low	ünk	basiK	basunk	basVnk
cselekszenek/cselekednek	bújik	low	tek	bújiK	bújtok	bújtVk
cselekszenek/cselekednek	morgolódik	low	nek	morgolódiK	morgolódnak	morgolódnVk
cselekszenek/cselekednek	tovatűnik	low	nek	tovatűniK	tovatűnnek	tovatűnnVk
cselekszenek/cselekednek	vívódik	low	nek	vívódiK	vívódnak	vívódnVk
cselekszenek/cselekednek	piknikezik	low	ünk	piknikeziK	piknikezünk	piknikezVnk
cselekszenek/cselekednek	sáfárkodik	low	nek	šáfárkodiK	šáfárkodnak	šáfárkodnVk
cselekszenek/cselekednek	kotorászik	low	nek	kotorásiK	kotorásnak	kotorásnVk
cselekszenek/cselekednek	tetszik	high	tek	tetsiK	tetsetek	tetsVtVk
cselekszenek/cselekednek	tetszik	low	tek	tetsiK	tetsetek	tetsVtVk
cselekszenek/cselekednek	dulakodik	low	nek	dulakodiK	dulakodnak	dulakodnVk
cselekszenek/cselekednek	furakszik	high	nek	furaksiK	furakodnak	furakodnVk
cselekszenek/cselekednek	furakszik	low	nek	furaksiK	furakodnak	furakodnVk
cselekszenek/cselekednek	gyöngyözik	low	nek	ḏönḏöziK	ḏönḏöznek	ḏönḏöznVk
cselekszenek/cselekednek	ténykedik	low	tek	téṉkediK	téṉkedtek	téṉkedtVk
cselekszenek/cselekednek	fulladozik	low	nek	fulladoziK	fulladoznak	fulladoznVk
cselekszenek/cselekednek	sikítozik	low	nek	šikítoziK	šikítoznak	šikítoznVk
cselekszenek/cselekednek	kosarazik	low	nek	košaraziK	košaraznak	košaraznVk
cselekszenek/cselekednek	cigizik	low	tek	cigiziK	cigiztek	cigiztVk
cselekszenek/cselekednek	kötözködik	low	nek	kötözködiK	kötözködnek	kötözködnVk
cselekszenek/cselekednek	számítódik	low	nek	sámítódiK	sámítódnak	sámítódnVk
cselekszenek/cselekednek	sürgölődik	low	nek	šürgölődiK	šürgölődnek	šürgölődnVk
cselekszenek/cselekednek	bábozódik	low	nek	bábozódiK	bábozódnak	bábozódnVk
cselekszenek/cselekednek	hisztizik	low	ünk	histiziK	histizünk	histizVnk
cselekszenek/cselekednek	unatkozik	low	tek	unatkoziK	unatkoztok	unatkoztVk
cselekszenek/cselekednek	hajókázik	low	ünk	hajókáziK	hajókázunk	hajókázVnk
cselekszenek/cselekednek	vizesedik	low	nek	vizešediK	vizešednek	vizešednVk
cselekszenek/cselekednek	másolódik	low	nek	mášolódiK	mášolódnak	mášolódnVk
cselekszenek/cselekednek	ütődik	low	nek	ütődiK	ütődnek	ütődnVk
cselekszenek/cselekednek	lobbizik	low	ünk	lobbiziK	lobbizunk	lobbizVnk
cselekszenek/cselekednek	raboskodik	low	nek	raboškodiK	raboškodnak	raboškodnVk
cselekszenek/cselekednek	ismerszik	high	nek	išmersiK	išmersenek	išmersVnVk
cselekszenek/cselekednek	főzik	low	nek	főziK	főznek	főznVk
cselekszenek/cselekednek	kettéválik	low	nek	kettéváliK	kettéválnak	kettéválnVk
cselekszenek/cselekednek	gürizik	low	nek	güriziK	güriznek	güriznVk
cselekszenek/cselekednek	variálódik	low	nek	variálódiK	variálódnak	variálódnVk
cselekszenek/cselekednek	bohóckodik	low	ünk	bohóckodiK	bohóckodunk	bohóckodVnk
cselekszenek/cselekednek	hányódik	low	nek	háṉódiK	háṉódnak	háṉódnVk
cselekszenek/cselekednek	kétkedik	low	nek	kétkediK	kétkednek	kétkednVk
cselekszenek/cselekednek	tanyázik	low	ünk	taṉáziK	taṉázunk	taṉázVnk
cselekszenek/cselekednek	telepszik	low	ünk	telepsiK	telepsünk	telepsVnk
cselekszenek/cselekednek	telepszik	high	ünk	telepsiK	telepsünk	telepsVnk
cselekszenek/cselekednek	társasozik	low	ünk	táršašoziK	táršašozunk	táršašozVnk
cselekszenek/cselekednek	bátorkodik	low	ünk	bátorkodiK	bátorkodunk	bátorkodVnk
cselekszenek/cselekednek	fúródik	low	nek	fúródiK	fúródnak	fúródnVk
cselekszenek/cselekednek	teniszezik	low	nek	teniseziK	teniseznek	teniseznVk
cselekszenek/cselekednek	vajúdik	low	nek	vajúdiK	vajúdnak	vajúdnVk
cselekszenek/cselekednek	dogozik	low	nek	dogoziK	dogoznak	dogoznVk
cselekszenek/cselekednek	késlekedik	low	ünk	kéšlekediK	kéšlekedünk	kéšlekedVnk
cselekszenek/cselekednek	fázik	low	tek	fáziK	fáztok	fáztVk
cselekszenek/cselekednek	sugdolózik	low	nek	šugdolóziK	šugdolóznak	šugdolóznVk
cselekszenek/cselekednek	sakkozik	low	ünk	šakkoziK	šakkozunk	šakkozVnk
cselekszenek/cselekednek	erősködik	low	nek	erőšködiK	erőšködnek	erőšködnVk
cselekszenek/cselekednek	forrósodik	low	nek	forróšodiK	forróšodnak	forróšodnVk
cselekszenek/cselekednek	főzik	low	tek	főziK	főztek	főztVk
cselekszenek/cselekednek	verekszik	high	ünk	vereksiK	vereksünk	vereksVnk
cselekszenek/cselekednek	verekszik	low	ünk	vereksiK	vereksünk	vereksVnk
cselekszenek/cselekednek	iszonyodik	low	nek	isoṉodiK	isoṉodnak	isoṉodnVk
cselekszenek/cselekednek	merevedik	low	tek	merevediK	merevedtek	merevedtVk
cselekszenek/cselekednek	nemesedik	low	nek	nemešediK	nemešednek	nemešednVk
cselekszenek/cselekednek	jólesik	low	tek	jólešiK	jóleštek	jóleštVk
cselekszenek/cselekednek	veszekszik	high	ünk	veseksiK	vesekedünk	vesekedVnk
cselekszenek/cselekednek	veszekszik	low	ünk	veseksiK	vesekedünk	vesekedVnk
cselekszenek/cselekednek	háborodik	low	ünk	háborodiK	háborodunk	háborodVnk
cselekszenek/cselekednek	kavarodik	low	nek	kavarodiK	kavarodnak	kavarodnVk
cselekszenek/cselekednek	őrizik	low	nek	őriziK	őriznek	őriznVk
cselekszenek/cselekednek	kenődik	low	nek	kenődiK	kenődnek	kenődnVk
cselekszenek/cselekednek	őrlődik	low	ünk	őrlődiK	őrlődünk	őrlődVnk
cselekszenek/cselekednek	tárulkozik	low	nek	tárulkoziK	tárulkoznak	tárulkoznVk
cselekszenek/cselekednek	vitatkozik	low	nek	vitatkoziK	vitatkoznek	vitatkoznVk
cselekszenek/cselekednek	kacérkodik	low	ünk	kacérkodiK	kacérkodunk	kacérkodVnk
cselekszenek/cselekednek	vágódik	low	nek	vágódiK	vágódnak	vágódnVk
cselekszenek/cselekednek	szánkózik	low	nek	sánkóziK	sánkóznak	sánkóznVk
cselekszenek/cselekednek	töltekezik	low	ünk	töltekeziK	töltekezünk	töltekezVnk
cselekszenek/cselekednek	vételezik	low	nek	vételeziK	vételeznek	vételeznVk
cselekszenek/cselekednek	zongorázik	low	nek	zongoráziK	zongoráznak	zongoráznVk
cselekszenek/cselekednek	költekezik	low	ünk	költekeziK	költekezünk	költekezVnk
cselekszenek/cselekednek	mobilozik	low	nek	mobiloziK	mobiloznak	mobiloznVk
cselekszenek/cselekednek	fogadkozik	low	ünk	fogadkoziK	fogadkozunk	fogadkozVnk
cselekszenek/cselekednek	tegeződik	low	nek	tegeződiK	tegeződnek	tegeződnVk
cselekszenek/cselekednek	fehéredik	low	nek	fehérediK	fehérednek	fehérednVk
cselekszenek/cselekednek	finomkodik	low	nek	finomkodiK	finomkodnak	finomkodnVk
cselekszenek/cselekednek	lármázik	low	nek	lármáziK	lármáznak	lármáznVk
cselekszenek/cselekednek	viseltetik	low	tek	višeltetiK	višeltettek	višeltettVk
cselekszenek/cselekednek	tünedezik	low	tek	tünedeziK	tünedeztek	tünedeztVk
cselekszenek/cselekednek	kerekedik	low	ünk	kerekediK	kerekedünk	kerekedVnk
cselekszenek/cselekednek	fingik	high	nek	fingiK	finganak	fingVnVk
cselekszenek/cselekednek	kerekezik	low	tek	kerekeziK	kerekeztek	kerekeztVk
cselekszenek/cselekednek	ajánlkozik	low	nek	ajánlkoziK	ajánlkoznak	ajánlkoznVk
cselekszenek/cselekednek	sivalkodik	low	nek	šivalkodiK	šivalkodnak	šivalkodnVk
cselekszenek/cselekednek	ügyködik	low	ünk	üḏködiK	üḏködünk	üḏködVnk
cselekszenek/cselekednek	fagyizik	low	ünk	faḏiziK	faḏizunk	faḏizVnk
cselekszenek/cselekednek	fórumozik	low	nek	fórumoziK	fórumoznak	fórumoznVk
cselekszenek/cselekednek	vastagodik	low	nek	vaštagodiK	vaštagodnak	vaštagodnVk
cselekszenek/cselekednek	visítozik	low	nek	višítoziK	višítoznak	višítoznVk
cselekszenek/cselekednek	himbálózik	low	nek	himbálóziK	himbálóznak	himbálóznVk
cselekszenek/cselekednek	álmodik	low	tek	álmodiK	álmodtok	álmodtVk
cselekszenek/cselekednek	kopaszodik	low	nek	kopasodiK	kopasodnak	kopasodnVk
cselekszenek/cselekednek	következik	low	ünk	következiK	következünk	következVnk
cselekszenek/cselekednek	tűnik	low	tek	tűniK	tűntök	tűntVk
cselekszenek/cselekednek	élvezkedik	low	nek	élvezkediK	élvezkednek	élvezkednVk
cselekszenek/cselekednek	ütközik	low	tek	ütköziK	ütköztök	ütköztVk
cselekszenek/cselekednek	közösködik	low	nek	közöšködiK	közöšködnek	közöšködnVk
cselekszenek/cselekednek	vezetődik	low	nek	vezetődiK	vezetődnek	vezetődnVk
cselekszenek/cselekednek	mérgelődik	low	ünk	mérgelődiK	mérgelődünk	mérgelődVnk
cselekszenek/cselekednek	sértődik	low	ünk	šértődiK	šértődünk	šértődVnk
cselekszenek/cselekednek	csónakázik	low	nek	čónakáziK	čónakáznak	čónakáznVk
cselekszenek/cselekednek	szakadozik	low	nek	sakadoziK	sakadoznak	sakadoznVk
cselekszenek/cselekednek	tanakodik	low	tek	tanakodiK	tanakodtok	tanakodtVk
cselekszenek/cselekednek	távozik	low	tek	távoziK	távoztok	távoztVk
cselekszenek/cselekednek	fejlődik	low	tek	fejlődiK	fejlődtek	fejlődtVk
cselekszenek/cselekednek	habozik	low	ünk	haboziK	habozunk	habozVnk
cselekszenek/cselekednek	oszlik	high	ünk	osliK	oslunk	oslVnk
cselekszenek/cselekednek	tengődik	low	ünk	tengődiK	tengődünk	tengődVnk
cselekszenek/cselekednek	kókadozik	low	nek	kókadoziK	kókadoznak	kókadoznVk
cselekszenek/cselekednek	lakozik	low	ünk	lakoziK	lakozunk	lakozVnk
cselekszenek/cselekednek	haldoklik	high	ünk	haldokliK	haldoklunk	haldoklVnk
cselekszenek/cselekednek	haragszik	high	nek	haragsiK	haragusnak	haragusnVk
cselekszenek/cselekednek	haragszik	low	nek	haragsiK	haragusnak	haragusnVk
cselekszenek/cselekednek	bénázik	low	ünk	bénáziK	bénázunk	bénázVnk
cselekszenek/cselekednek	nyílik	low	ünk	ṉíliK	ṉílunk	ṉílVnk
cselekszenek/cselekednek	örömködik	low	nek	örömködiK	örömködnek	örömködnVk
cselekszenek/cselekednek	pályázik	low	tek	pájáziK	pájáztok	pájáztVk
cselekszenek/cselekednek	zavarodik	low	nek	zavarodiK	zavarodnak	zavarodnVk
cselekszenek/cselekednek	párásodik	low	nek	párášodiK	párášodnak	párášodnVk
cselekszenek/cselekednek	óvakodik	low	ünk	óvakodiK	óvakodunk	óvakodVnk
cselekszenek/cselekednek	nekiugrik	high	ünk	nekiugriK	nekiugrunk	nekiugrVnk
cselekszenek/cselekednek	rejtezik	low	nek	rejteziK	rejteznek	rejteznVk
cselekszenek/cselekednek	buszozik	low	nek	busoziK	busoznak	busoznVk
cselekszenek/cselekednek	kúszik	low	ünk	kúsiK	kúsunk	kúsVnk
cselekszenek/cselekednek	hüledezik	low	tek	hüledeziK	hüledeztek	hüledeztVk
cselekszenek/cselekednek	uzsonnázik	low	nek	užonnáziK	užonnáznak	užonnáznVk
cselekszenek/cselekednek	ígérkezik	low	tek	ígérkeziK	ígérkeztek	ígérkeztVk
cselekszenek/cselekednek	bábozik	low	nek	báboziK	báboznak	báboznVk
cselekszenek/cselekednek	fiatalodik	low	nek	fiatalodiK	fiatalodnak	fiatalodnVk
cselekszenek/cselekednek	poénkodik	low	ünk	poénkodiK	poénkodunk	poénkodVnk
cselekszenek/cselekednek	epekedik	low	nek	epekediK	epekednek	epekednVk
cselekszenek/cselekednek	esküdözik	low	nek	ešküdöziK	ešküdöznek	ešküdöznVk
cselekszenek/cselekednek	gyötrődik	low	ünk	ḏötrődiK	ḏötrődünk	ḏötrődVnk
cselekszenek/cselekednek	nedvesedik	low	nek	nedvešediK	nedvešednek	nedvešednVk
cselekszenek/cselekednek	vetkezik	low	tek	vetkeziK	vetkeztek	vetkeztVk
cselekszenek/cselekednek	hüledezik	low	nek	hüledeziK	hüledeznek	hüledeznVk
cselekszenek/cselekednek	lakozik	low	tek	lakoziK	lakoztok	lakoztVk
cselekszenek/cselekednek	évődik	low	nek	évődiK	évődnek	évődnVk
cselekszenek/cselekednek	préselődik	low	nek	préšelődiK	préšelődnek	préšelődnVk
cselekszenek/cselekednek	készülődik	low	tek	késülődiK	késülődtök	késülődtVk
cselekszenek/cselekednek	türemkedik	low	nek	türemkediK	türemkednek	türemkednVk
cselekszenek/cselekednek	jeleskedik	low	ünk	jeleškediK	jeleškedünk	jeleškedVnk
cselekszenek/cselekednek	vételezik	low	ünk	vételeziK	vételezünk	vételezVnk
cselekszenek/cselekednek	éledezik	low	nek	éledeziK	éledeznek	éledeznVk
cselekszenek/cselekednek	haragszik	high	nek	haragsiK	haragudnak	haragudnVk
cselekszenek/cselekednek	haragszik	low	nek	haragsiK	haragudnak	haragudnVk
cselekszenek/cselekednek	keringőzik	low	nek	keringőziK	keringőznek	keringőznVk
cselekszenek/cselekednek	párbajozik	low	nek	párbajoziK	párbajoznak	párbajoznVk
cselekszenek/cselekednek	ásítozik	low	nek	ášítoziK	ášítoznak	ášítoznVk
cselekszenek/cselekednek	akaszkodik	low	nek	akaskodiK	akaskodnak	akaskodnVk
cselekszenek/cselekednek	alkudik	low	nek	alkudiK	alkudnak	alkudnVk
cselekszenek/cselekednek	erodálódik	low	nek	erodálódiK	erodálódnak	erodálódnVk
cselekszenek/cselekednek	egyezkedik	low	ünk	eḏezkediK	eḏezkedünk	eḏezkedVnk
cselekszenek/cselekednek	öltözik	low	tek	öltöziK	öltöztök	öltöztVk
cselekszenek/cselekednek	búvárkodik	low	nek	búvárkodiK	búvárkodnak	búvárkodnVk
cselekszenek/cselekednek	csuklik	high	nek	čukliK	čuklanak	čuklVnVk
cselekszenek/cselekednek	mókázik	low	ünk	mókáziK	mókázunk	mókázVnk
cselekszenek/cselekednek	vetődik	low	ünk	vetődiK	vetődünk	vetődVnk
cselekszenek/cselekednek	őrködik	low	ünk	őrködiK	őrködünk	őrködVnk
cselekszenek/cselekednek	álmodozik	low	tek	álmodoziK	álmodoztok	álmodoztVk
cselekszenek/cselekednek	fenekedik	low	nek	fenekediK	fenekednek	fenekednVk
cselekszenek/cselekednek	csúfolódik	low	nek	čúfolódiK	čúfolódnak	čúfolódnVk
cselekszenek/cselekednek	klónozik	low	nek	klónoziK	klónoznak	klónoznVk
cselekszenek/cselekednek	kocsikázik	low	nek	kočikáziK	kočikáznak	kočikáznVk
cselekszenek/cselekednek	csapódik	low	ünk	čapódiK	čapódunk	čapódVnk
cselekszenek/cselekednek	hugyozik	low	nek	huḏoziK	huḏoznak	huḏoznVk
cselekszenek/cselekednek	kárhozik	low	nek	kárhoziK	kárhoznak	kárhoznVk
cselekszenek/cselekednek	mérgelődik	low	nek	mérgelődiK	mérgelődnek	mérgelődnVk
cselekszenek/cselekednek	csúszdázik	low	nek	čúsdáziK	čúsdáznak	čúsdáznVk
cselekszenek/cselekednek	haldoklik	high	nek	haldokliK	haldoklanak	haldoklVnVk
cselekszenek/cselekednek	érdeklődik	low	tek	érdeklődiK	érdeklődtek	érdeklődtVk
cselekszenek/cselekednek	gyarapszik	low	nek	ḏarapsiK	ḏarapsanak	ḏarapsVnVk
cselekszenek/cselekednek	gyarapszik	high	nek	ḏarapsiK	ḏarapsanak	ḏarapsVnVk
cselekszenek/cselekednek	látszik	high	tek	látsiK	látsotok	látsVtVk
cselekszenek/cselekednek	kötődik	low	tek	kötődiK	kötődtök	kötődtVk
cselekszenek/cselekednek	burkolózik	low	ünk	burkolóziK	burkolózunk	burkolózVnk
cselekszenek/cselekednek	bábáskodik	low	nek	bábáškodiK	bábáškodnak	bábáškodnVk
cselekszenek/cselekednek	cselekszik	high	tek	čeleksiK	čeleksetek	čeleksVtVk
cselekszenek/cselekednek	cselekszik	low	tek	čeleksiK	čeleksetek	čeleksVtVk
cselekszenek/cselekednek	labdázik	low	ünk	labdáziK	labdázunk	labdázVnk
cselekszenek/cselekednek	enyészik	low	tek	eṉésiK	eṉéstek	eṉéstVk
cselekszenek/cselekednek	kekeckedik	low	nek	kekeckediK	kekeckednek	kekeckednVk
cselekszenek/cselekednek	ügyeskedik	low	ünk	üḏeškediK	üḏeškedünk	üḏeškedVnk
cselekszenek/cselekednek	hiányzik	high	tek	hiáṉziK	hiáṉoztok	hiáṉoztVk
cselekszenek/cselekednek	cselezik	low	nek	čeleziK	čeleznek	čeleznVk
cselekszenek/cselekednek	töltekezik	low	nek	töltekeziK	töltekeznek	töltekeznVk
cselekszenek/cselekednek	kezeskedik	low	nek	kezeškediK	kezeškednek	kezeškednVk
cselekszenek/cselekednek	ruházkodik	low	nek	ruházkodiK	ruházkodnak	ruházkodnVk
cselekszenek/cselekednek	tekergőzik	low	nek	tekergőziK	tekergőznek	tekergőznVk
cselekszenek/cselekednek	tépelődik	low	nek	tépelődiK	tépelődnek	tépelődnVk
cselekszenek/cselekednek	ölelkezik	low	ünk	ölelkeziK	ölelkezünk	ölelkezVnk
cselekszenek/cselekednek	emlékszik	high	nek	emléksiK	emléksenek	emléksVnVk
cselekszenek/cselekednek	emlékszik	low	nek	emléksiK	emléksenek	emléksVnVk
cselekszenek/cselekednek	dumcsizik	low	ünk	dumčiziK	dumčizunk	dumčizVnk
cselekszenek/cselekednek	perlekedik	low	nek	perlekediK	perlekednek	perlekednVk
cselekszenek/cselekednek	szopizik	low	nek	sopiziK	sopiznak	sopiznVk
cselekszenek/cselekednek	skálázódik	low	nek	škálázódiK	škálázódnak	škálázódnVk
cselekszenek/cselekednek	haverkodik	low	nek	haverkodiK	haverkodnak	haverkodnVk
cselekszenek/cselekednek	kérődzik	low	nek	kérődziK	kérődznek	kérődznVk
cselekszenek/cselekednek	részegedik	low	tek	résegediK	résegedtek	résegedtVk
cselekszenek/cselekednek	rejtőzik	low	ünk	rejtőziK	rejtőzünk	rejtőzVnk
cselekszenek/cselekednek	tekeredik	low	tek	tekerediK	tekeredtek	tekeredtVk
cselekszenek/cselekednek	ugrik	high	tek	ugriK	ugrotok	ugrVtVk
cselekszenek/cselekednek	vonzódik	low	tek	vonzódiK	vonzódtok	vonzódtVk
cselekszenek/cselekednek	érlelődik	low	ünk	érlelődiK	érlelődünk	érlelődVnk
